"condition","title","phase","sponsor","sponsor_class"
"Schizophrenia","A Long-Term, Open-Label Study of Flexibly Dosed Paliperidone Palmitate Long-Acting Intramuscular Injection in Japanese Patients With Schizophrenia","PHASE3","Janssen Pharmaceutical K.K.","INDUSTRY"
"Schizophrenia","Efficacy and Safety With Ziprasidone in the Treatment of First-episode Schizophrenia Spectrum Disorder: Multi-center Study","PHASE4","Chonbuk National University Hospital","OTHER"
"Schizophrenia","Examining the Impact of Transcranial Magnetic Stimulation (rTMS) on Schizophrenia and Related Disorders: A Case Series","PHASE2","St. Joseph's Healthcare Hamilton","OTHER"
"Schizophrenia","A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Fixed-dose OPC-34712 in the Treatment of Adults With Acute Schizophrenia","PHASE3","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","Cannabinoids and Cerebellar-Motor Functioning","EARLY_PHASE1","Yale University","OTHER"
"Schizophrenia","A Randomized, Double-blind, Comparison of the Efficacy and Safety of Olanzapine Versus Low-dose Olanzapine Plus Low-dose Trifluoperazine in the Treatment of Schizophrenia","PHASE4","Kaohsiung Kai-Suan Psychiatric Hospital","OTHER_GOV"
"Schizophrenia","A Phase IIa, Randomized, Multicenter, Double-Blind, Active Comparator- and Placebo-Controlled, Clinical Trial to Study the Safety and Efficacy of MK8998 in Acutely Psychotic Patients With Schizophrenia","PHASE2","Merck Sharp & Dohme LLC","INDUSTRY"
"Schizophrenia","Therapeutic Effect of Cassia Seed in Obesity of Patients With Schizophrenia","PHASE1","Calo Psychiatric Center","OTHER"
"Schizophrenia","An Open-label Study of the Efficacy and Safety of RISPERDAL Long-acting Microspheres (RISPERDAL CONSTA) Administered Once Monthly in Adults With Schizophrenia or Schizoaffective Disorder","PHASE3","Janssen, LP","INDUSTRY"
"Schizophrenia","A Randomized, Double-Blind, Placebo-Controlled, Parellel-Group Study of Paliperidone Palmitate Evaluating Time to Relapse in Subjects With Schizoaffective Disorder","PHASE3","Janssen Scientific Affairs, LLC","INDUSTRY"
"Schizophrenia","Nicotinic Receptors and Schizophrenia","PHASE1","VA Office of Research and Development","FED"
"Schizophrenia","NO TITLE","PHASE4","Sichuan University","OTHER"
"Schizophrenia","Aripiprazole for Bipolar Disorder and Alcohol Use Disorder","PHASE3","University of Texas Southwestern Medical Center","OTHER"
"Schizophrenia","A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Psychosis Associated With Alzheimer's Disease","PHASE3","Bristol-Myers Squibb","INDUSTRY"
"Schizophrenia","An Exploratory Study to Measure and Contrast Implicit and Explicit Learning Performance in Patients With Stable Schizophrenia and Young and Elderly Healthy Subjects","EARLY_PHASE1","Janssen Research & Development, LLC","INDUSTRY"
"Schizophrenia","6R-BH 4 in People With Schizophrenia and Schizoaffective Disorder","PHASE1","New York State Psychiatric Institute","OTHER"
"Schizophrenia","Clonazepam Effects on Brain Oscillations and Cognition in Schizophrenia","PHASE4","Palo Alto Veterans Institute for Research","OTHER"
"Schizophrenia","A 3 Weeks Open Label Study to Evaluate the Efficacy in Agitation and Safety of Quetiapine Fumarate XR in Treatment of Patients With Acute Schizophrenia","PHASE4","AstraZeneca","INDUSTRY"
"Schizophrenia","A Randomised, Double-blind, Parallel-Group, Fixed Dose Study Exploring the Efficacy and Safety of Lu AE58054 as Augmentation Therapy to Risperidone in Patients With Schizophrenia","PHASE2","H. Lundbeck A/S","INDUSTRY"
"Anxiety","A Randomized, Double Blind, Placebo Controlled, Multicenter Study To Evaluate The Efficacy, Safety, And Tolerability Of PRX-00023 In Patients With Generalized Anxiety Disorder (GAD)","PHASE3","Epix Pharmaceuticals, Inc.","INDUSTRY"
"Anxiety","Therapeutic Massage for Generalized Anxiety Disorder","PHASE1","Kaiser Permanente","OTHER"
"Anxiety","An Eight-Week, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Fixed Dose of SR58611A 350 mg Twice a Day in Elderly Patients With Generalized Anxiety Disorder With an Optional Twenty-Four Week Extension","PHASE3","Sanofi","INDUSTRY"
"Anxiety","Generalized Anxiety Disorder (GAD): A First-in-Human Single Ascending Dose and Food Effect Study of ABBV-932 in Healthy Adult Subjects","PHASE1","AbbVie","INDUSTRY"
"Anxiety","Duloxetine Hydrochloride 60 mg or 120 mg Once Daily Compared With Placebo in Patients With Generalized Anxiety Disorder.","PHASE3","Eli Lilly and Company","INDUSTRY"
"Anxiety","Phase I Study of Subthalamic GAD Gene Transfer in Medically Refractory Parkinson's Disease Patients","PHASE1","Neurologix, Inc.","INDUSTRY"
"Anxiety","A 10-Week, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Flexible-Dosage Study to Evaluate the Efficacy and Safety of Gabitril(up to 16 mg/Day) in the Treatment of Adults With Generalized Anxiety Disorder","PHASE3","Cephalon","INDUSTRY"
"Anxiety","Pharmacological Treatment of Generalized Anxiety Disorder in the Elderly","PHASE4","VA Office of Research and Development","FED"
"Anxiety","An 8-Week Multicenter, Randomized, Double-Blind, Placebo-Controlled, Flexible Dose Study Of Pregabalin (300-600 Mg/Day) And Venlafaxine XR (75-225 Mg/Day) For The Acute Treatment Of DSM-IV Generalized Anxiety Disorder In Outpatients","PHASE3","Pfizer's Upjohn has merged with Mylan to form Viatris Inc.","INDUSTRY"
"Anxiety","Duloxetine 60 to 120 mg Once Daily Compared With Placebo in the Prevention of Relapse in Generalized Anxiety Disorder","PHASE3","Eli Lilly and Company","INDUSTRY"
"Anxiety","A Double-Blind, Placebo-Controlled, Flexible-Dose Study of Vilazodone in Patients With Generalized Anxiety Disorder.","PHASE3","Forest Laboratories","INDUSTRY"
"Anxiety","Open Label Pilot Trial in Adults With Recent-onset T1D to Evaluate the Safety, Diabetes Status and Immune Response of GAD-antigen (Diamyd®) Therapy Administered Into Lymph Nodes in Combination With an Oral Vitamin D Regimen","PHASE1","Johnny Ludvigsson","OTHER_GOV"
"Anxiety","A Double-blind, Randomized Investigator-initiated Study to Determine the Safety and the Effect of Diamyd® on the Progression to Type 1 Diabetes in Children With Multiple Islet Cell Autoantibodies","PHASE2","Lund University","OTHER"
"Anxiety","Efficacy and Safety of Repeated Intravenous Subanesthetic Ketamine Infusions Among Veterans With Treatment Resistant Depression Comorbid With Chronic Post-Traumatic Stress Disorder: A Proof-of-concept Study","PHASE1","Minneapolis Veterans Affairs Medical Center","FED"
"Anxiety","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"Anxiety","A Phase 1, Open-Label, Randomized, Cross-Over Study To Estimate The Pharmacokinetics Of PD 0332334 And Metformin When Administered Concurrently In Healthy Subjects","PHASE1","Pfizer","INDUSTRY"
"Anxiety","Clinical Evaluation of BRL29060 A in Generalized Anxiety Disorder","PHASE2","GlaxoSmithKline","INDUSTRY"
"Anxiety","Combined Treatment for Generalized Anxiety Disorder (GAD)","PHASE2","University of Pennsylvania","OTHER"
"Anxiety","Determination of ED50 and ED95 With Clinical Efficacy of Intranasal Dexmedetomidine Combined With Esketamine for Preoperative Sedation in Pediatric General Anesthesia","PHASE4","Second Affiliated Hospital of Wenzhou Medical University","OTHER"
"Anxiety","Effects of Recombinant Human Glutamic Acid Decarboxylase (rhGAD65) Formulated in Alum (GAD-alum) on the Progression of Type 1 Diabetes in New Onset Subjects","PHASE2","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","NIH"
"Anxiety","Safety and Efficacy of Buagafuran Capsules in the Treatment of Generalized Anxiety Disorder: a Multi-center, Randomized, Double-blind, Double-dummy, Placebo-controlled, Positive-controlled, Flexible-dose Phase Ⅲ Clinical Trial","PHASE3","Beijing Union Pharmaceutical Factory Ltd","INDUSTRY"
"Anxiety","Feasible Delivery of CBT for Rural Latino Youth With Anxiety","PHASE1","University of California, San Diego","OTHER"
"Anxiety","A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Fixed-Dose Study Comparing the Efficacy and Safety of a Single Dose of Lu AA21004 in Acute Treatment of Adults With Generalized Anxiety Disorder","PHASE3","Takeda","INDUSTRY"
"Anxiety","Interventional, Open-label Effectiveness Study of Flexible Doses of Vortioxetine on Depressive Symptoms in Patients With Major Depressive Disorder Comorbid With Generalized Anxiety Disorder","PHASE4","H. Lundbeck A/S","INDUSTRY"
"Anxiety","A Phase 2, Randomized, Double-blind, Placebo-controlled, Multicenter Study to Assess the Safety and Tolerability of SPD503 in Subjects Aged 6-17 Years With Generalized Anxiety Disorder (GAD), Separation Anxiety Disorder (SAD), or Social Phobia (SoP).","PHASE2","Shire","INDUSTRY"
"Anxiety","Long-Term Lorazepam Use and Acute Toxicity in the Aged","PHASE4","Nathan Kline Institute for Psychiatric Research","OTHER"
"Anxiety","Coordinated Anxiety Learning and Management (CALM): Improving Primary Care Anxiety Outcomes","PHASE4","University of Washington","OTHER"
"Anxiety","A Multicenter, Rand., Double-blind, Parallel-group, Pbo-controlled Study of the Efficacy and Safety of SEROQUEL® XR Compared With Pbo as an Adjunct to Treatment in Patients With Generalized Anxiety Disorder Who Demonstrate Partial or No Response to a SSRI or SNRI Alone or in Combination With a Benzo","PHASE3","AstraZeneca","INDUSTRY"
"Anxiety","A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled, 12-Week Study (Part A) With a 40-Week Open-label Extension (Part B) Evaluating the Efficacy and Safety of Oral MM120 Compared to Placebo in the Treatment of Adults With Generalized Anxiety Disorder - Voyage","PHASE3","Definium Therapeutics US, Inc.","INDUSTRY"
